2017-02-15 20:17:11 status unpacked libc6:armhf 2.23-0ubuntu3
2017-02-15 20:17:11 install libcap2:armhf <none> 1:2.24-12
2017-02-15 20:17:11 status half-installed libcap2:armhf 1:2.24-12
2017-02-15 20:17:11 status unpacked libcap2:armhf 1:2.24-12
2017-02-15 20:17:11 status unpacked libcap2:armhf 1:2.24-12
2017-02-15 20:17:11 install libcap2-bin:armhf <none> 1:2.24-12
2017-02-15 20:17:11 status half-installed libcap2-bin:armhf 1:2.24-12
2017-02-15 20:17:11 status unpacked libcap2-bin:armhf 1:2.24-12
2017-02-15 20:17:11 status unpacked libcap2-bin:armhf 1:2.24-12
2017-02-15 20:17:11 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2017-02-15 20:17:11 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:11 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:11 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:11 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2017-02-15 20:17:11 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-02-15 20:17:11 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-02-15 20:17:11 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-02-15 20:17:11 install libdb5.3:armhf <none> 5.3.28-11
2017-02-15 20:17:11 status half-installed libdb5.3:armhf 5.3.28-11
2017-02-15 20:17:11 status unpacked libdb5.3:armhf 5.3.28-11
2017-02-15 20:17:11 status unpacked libdb5.3:armhf 5.3.28-11
2017-02-15 20:17:11 install libdebconfclient0:armhf <none> 0.198ubuntu1
2017-02-15 20:17:11 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2017-02-15 20:17:11 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-02-15 20:17:11 status unpacked libdebconfclient0:armhf 0.198ubuntu1
